"Number of tokens" File
16 UBB_01410d1e465c3eb4cd162e7fa9e52882.txt
16 UNIPU_06d0aabeb569829021ef5250a244f389.txt
17 AUSONIUS_06006caebdea6a72df8f77fcd57ee572.txt
17 AUSONIUS_09848ce2babaaea27b5d55e454f7b91d.txt
17 EDB_00254d816728ef385187c60b08cb5c10.txt
17 ELTE_003d227dcd75519f88ed91130b80b1a4.txt
17 RIB_0266e33d3f546cb5436a10798e657d97.txt
17 UAH_002f9c8cee878b64a747a2c211da7d83.txt
17 UBB_010f6431113014132c25c5eed5f497f5.txt
18 AUSONIUS_056667e99c8a0fbfeb2e23bc57c5a4a4.txt
18 BSR_05bcc83d087223842f61f78b281a0b13.txt
18 EDB_0023daa5a44ef6fbe42379f24e00254c.txt
18 EDH_001588ce5436467103317fe1a451448e.txt
18 EDR_0014985d66e0ed7001361942b6608304.txt
18 EDR_00214750b7ba1bb1015651067554634c.txt
18 SAZU_137eeb237530a996895854e6b855e5b9.txt
18 UNIPU_06cb7dd1f0d04ee4d625fa6631000b3e.txt
19 BSR_05b84030c8a8da1c5be046fee4c16027.txt
19 EDH_00073979aed05ec4be8b07a80614128a.txt
19 EDR_0020df1e02694c2fc2f59258de19caf3.txt
19 ELTE_084ea6812e28da92829baef8e4499f33.txt
19 RIB_0234c510bc6d908b28c70ff313743079.txt
19 SAZU_018adf25513bfa62cc3dde1948c20c91.txt
19 SAZU_08e6daeb15c9818f588d5e26ead636b4.txt
19 UAH_000871c1fc726f0b52dc86a4eeb027de.txt
19 UAH_001d908c7637618bb0a8af0c8be5cd41.txt
19 UBB_014a5adcbc3368e1e677302f5f565d96.txt
19 VND_01161aaa0b6d1345dd8fe4e481144d84.txt
19 VND_0bb4aec1710521c12ee76289d9440817.txt
20 EDH_00179f068af924658f64da17a5491ec4.txt
20 EDR_000c436e7f03a66d68c7eb44cbe6d984.txt
20 ELTE_0283379b8c43b192c0d7131124b5eaa4.txt
20 ELTE_03e36e2ccff3df355ecfc65db3627ab9.txt
20 RIB_00411460f7c92d2124a67ea0f4cb5f85.txt
20 SAZU_149eba143da1b5aa49000f96034e6d4a.txt
20 VND_07c5807d0d927dcd0980f86024e5208b.txt
21 ELTE_0733dcd2dd0fe1e595b10d0bb4913084.txt
21 UBB_05f007c832cb9f81766fdcf5e6473c81.txt
22 AUSONIUS_0121eff2d33c2ff1fd0291e95c087427.txt
22 AUSONIUS_09a09c299e7a4d420e97032fc0237946.txt
22 ELTE_0f6ab78824dc53fabea8421ac03c199d.txt
22 RIB_01e9565cecc4e989123f9620c1d09c09.txt
22 UBB_0663ecf01e78d9214b04251ba751a9fd.txt
22 VND_04ecb1fa28506ccb6f72b12c0245ddbc.txt
23 AUSONIUS_0a5227c504bdb2426f5490665aac9c4e.txt
23 EDR_000e9ebcd9f4cf6bf555b8fda8d36783.txt
23 EDR_00178ad42b083f5166f826d8ed6b710a.txt
23 EDR_00208efbbf8a603735950c85273bad3b.txt
23 ELTE_0b339a184b637fb48f5eade440f8d69f.txt
23 RIB_01882513d5fa7c329e940dda99b12147.txt
23 RIB_01e00f2f4bfcbb7505cb641066f2859b.txt
23 UNIPU_010928631bd3321147767e4e0d94ca4b.txt
23 VND_08b255a5d42b89b0585260b6f2360bdd.txt
24 EDR_0019adb0b3fb6b8eef3130bc377025a2.txt
24 ELTE_03980be0673822e07efde38055318ba3.txt
24 ELTE_077620b8e17ccda0225cd8d9f26fe88a.txt
24 ELTE_0c8b99dc02f9be0687a20704ecedcc1c.txt
25 BSR_041cef6e0a29e57c0eb3e2d0f8332b26.txt
25 RIB_021bbc7ee20b71134d53e20206bd6feb.txt
25 SAZU_0feaa38c39e1054f2a5d1663ecd84c75.txt
25 UBB_06a2c8932212082d4e5360ccf464810f.txt
25 UBB_06d141d40f461ed4330b7785c8e8909f.txt
25 UOXF_01b7b0e313993d16881e17f4f5c10d85.txt
26 EDH_001fe62d641dd55111dc382acbbb40cb.txt
26 SAZU_0db2bd1ee9a3e3f34c876bed109a219c.txt
27 AUSONIUS_00fdf8ec1f79c785f13a1ee58eaef87f.txt
27 BSR_00a8f5795d12fade8d9c551cf88a1500.txt
27 BSR_056d9471598620c84441670582f59365.txt
27 ELTE_03d0e49e7e39c6dc0410e3c48380879e.txt
27 UAH_0023a1e3447fdb31836536cc903f1310.txt
27 UNIPU_05981bbaa4557269436fdf5179d5057c.txt
27 VND_0aa1883c6411f7873cb83dacb17b0afc.txt
28 BSR_0253a74945aecc543f47f1f3945a53f6.txt
28 BSR_02f242efe468dcfee7d599d1d0e812af.txt
29 EDH_001e98bcd538796ffbec097b9abd3fc0.txt
29 EDR_001ad24dcdaf5f0a7b3ce5d4b54eee00.txt
29 UBB_013f9abe7228450d41793b3273d57de1.txt
29 UBB_054249a3d3bd3476756e584f699e8440.txt
29 VND_08c5433a60135c32e34f46a71175850c.txt
29 VND_08d98638c6fcd194a4b1e6992063e944.txt
30 EDB_00053f5e11d1fe4e49a221165b39abc9.txt
31 ELTE_086925a66c1c21dff7c35fb9dbb9e2e0.txt
31 SAZU_09c8c058a94d53144245cb1a0e520c2e.txt
32 UBB_0319f860772d5b0cee9773a6ef43aee5.txt
33 BSR_03bd4eed967306d71790ec3af8d3d6dd.txt
33 EDH_0008f69b353fd0446ede30231eb59216.txt
33 ELTE_0dcca3fa1b2fc28fc4b95fa41f258378.txt
34 BSR_053d9b6678748b1861e0ea3e07e031e9.txt
34 SAZU_1f1a88842ee82bee4552c9ec020a2e51.txt
37 EDH_0006865e4e1346b5da735872d95b380f.txt
37 RIB_03c6b06952c750899bb03d998e631860.txt
37 UBB_009684a27f94a539b437b96f94303dda.txt
38 UBB_052931a64cdb45c1bf37a7894d407414.txt
39 AUSONIUS_09ddcbf4aeed6f1cab34ad9e55c29f72.txt
40 ELTE_007e8864bbc9c54344405f4a884676c2.txt
40 UAH_0006dd05ea1e999ddaa041a7091b7b36.txt
41 EDB_00498fd626d602ffabe6acc9636155b7.txt
43 VND_00ac8ed3b4327bdd4ebbebcb2ba10a00.txt
43 VND_051e4e127b92f5d98d3c79b195f2b291.txt
43 VND_084b6fbb10729ed4da8c3d3f5a3ae7c9.txt
44 EDH_0001da4688a687eaae2662095d96b4b0.txt
45 UNIPU_03120677d7ee8bb8520207ee67e2666b.txt
46 RIB_043c3d7e489c69b48737cc0c92d0f3a2.txt
